Cameras as of 2025-05-05,,,,,,,,,,,
Server Name,Device Name,IP Address,Model,MAC Address,switch/port,Firmware Version,Serial Number,Bitrate,Resolution,Quality,Image Rate
Byng Campus West NVR (202),Cafeteria Dining Room SE (202.28),10.10.202.28,6.0C-H5A-D1-IR,00:18:85:2F:DC:91,,4.86.0.20(7a7d6563),1.12006E+11,4832,3200x1800,6,10
Byng Campus West NVR (202),Cafeteria Ext W (202.29) (3 views),10.10.202.29,24C-H4A-3MH-180,00:18:85:36:57:32,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus West NVR (202),Cafeteria Ext W view 3 (202.29),10.10.202.29,24C-H4A-3MH-180,00:18:85:36:57:32,,4.36.0.26(fe36bbcb),1.02105E+11,8728,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext W view 2 (202.29),10.10.202.29,24C-H4A-3MH-180,00:18:85:36:57:32,,4.36.0.26(fe36bbcb),1.02105E+11,7672,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext W view 1 (202.29),10.10.202.29,24C-H4A-3MH-180,00:18:85:36:57:32,,4.36.0.26(fe36bbcb),1.02105E+11,8792,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext Front Entry N (202.30),10.10.202.30,6.0C-H5A-DO1-IR,00:18:85:36:9C:7C,,4.86.0.20(7a7d6563),1.12105E+11,7064,3200x1800,6,15
Byng Campus West NVR (202),Cafeteria Ext Front Entry S (202.31),10.10.202.31,6.0C-H5A-DO1-IR,00:18:85:36:9C:93,,4.86.0.20(7a7d6563),1.12105E+11,4200,3200x1800,6,15
Byng Campus West NVR (202),Construction Trades Ext E (202.32) (3 views),10.10.202.32,24C-H4A-3MH-180,00:18:85:36:44:C8,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus West NVR (202),"Construction Trades Ext E, view 3 (202.32)",10.10.202.32,24C-H4A-3MH-180,00:18:85:36:44:C8,,4.36.0.26(fe36bbcb),1.02105E+11,3896,3840x2160,6,12
Byng Campus West NVR (202),"Construction Trades Ext E, view 1 (202.32)",10.10.202.32,24C-H4A-3MH-180,00:18:85:36:44:C8,,4.36.0.26(fe36bbcb),1.02105E+11,3256,3840x2160,6,12
Byng Campus West NVR (202),"Construction Trades Ext E, view 2 (202.32)",10.10.202.32,24C-H4A-3MH-180,00:18:85:36:44:C8,,4.36.0.26(fe36bbcb),1.02105E+11,3192,3840x2160,6,12
Byng Campus West NVR (202),Construction Trades Ext NW (202.33) (3 views),10.10.202.33,24C-H4A-3MH-270,00:18:85:36:40:3F,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus West NVR (202),"Construction Trades Ext NW, view 1 (202.33)",10.10.202.33,24C-H4A-3MH-270,00:18:85:36:40:3F,,4.36.0.26(fe36bbcb),1.02105E+11,2976,3840x2160,6,12
Byng Campus West NVR (202),"Construction Trades Ext NW, view 2 (202.33)",10.10.202.33,24C-H4A-3MH-270,00:18:85:36:40:3F,,4.36.0.26(fe36bbcb),1.02105E+11,3736,3840x2160,6,12
